epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,477.292,1.02893,1.32732,1.05877,0.98973,0.98452,0.99418,0.72345,0.93688,0.75642,1.01936,0.000666357,0.000666357,0.000666357
2,936.13,0.98149,0.71836,1.04306,0.98515,0.98578,0.9928,0.761,0.85201,0.56144,0.98004,0.00131983,0.00131983,0.00131983
3,1391.9,0.95976,0.61937,1.03731,0.97513,0.98422,0.99295,0.77214,0.84901,0.48844,0.98674,0.0019601,0.0019601,0.0019601
4,1847.21,0.94011,0.59605,1.02787,0.94655,0.98653,0.94367,0.73458,0.81844,0.50861,0.96676,0.0019406,0.0019406,0.0019406
5,2301.48,0.91523,0.55003,1.01084,0.98974,0.98552,0.994,0.77396,0.83619,0.46009,0.97781,0.0019208,0.0019208,0.0019208
6,2755.16,0.89026,0.5241,1.0062,0.99433,0.98979,0.99485,0.79168,0.79178,0.42851,0.95728,0.001901,0.001901,0.001901
7,3208.45,0.88362,0.50498,1.00505,0.99442,0.99341,0.99462,0.79151,0.77925,0.39958,0.9601,0.0018812,0.0018812,0.0018812
8,3661.93,0.86598,0.49625,0.994,0.99565,0.99071,0.99479,0.79051,0.8268,0.40892,0.96432,0.0018614,0.0018614,0.0018614
9,4114.96,0.85661,0.46786,0.98862,0.99169,0.99719,0.99439,0.81037,0.7697,0.37371,0.9409,0.0018416,0.0018416,0.0018416
10,4567.6,0.84969,0.4729,0.98974,0.98746,0.99443,0.99399,0.81564,0.77259,0.37058,0.94562,0.0018218,0.0018218,0.0018218
11,5020.79,0.83575,0.45994,0.98073,0.99238,0.99629,0.99407,0.8061,0.78397,0.36373,0.94773,0.001802,0.001802,0.001802
12,5474.33,0.82425,0.44149,0.97909,0.9942,0.99629,0.99486,0.82846,0.74788,0.34224,0.9413,0.0017822,0.0017822,0.0017822
13,5927.87,0.82963,0.44175,0.98199,0.99647,0.99629,0.99474,0.82375,0.74209,0.34394,0.93737,0.0017624,0.0017624,0.0017624
14,6381.08,0.82998,0.43936,0.97889,0.99136,0.99721,0.99398,0.82513,0.74474,0.34536,0.93548,0.0017426,0.0017426,0.0017426
15,6834.29,0.81764,0.43425,0.97784,0.9946,0.99536,0.99461,0.82141,0.76277,0.34668,0.94543,0.0017228,0.0017228,0.0017228
16,7287.9,0.83027,0.43378,0.98027,0.99626,0.99814,0.99449,0.83356,0.73704,0.34155,0.93192,0.001703,0.001703,0.001703
17,7741.35,0.80815,0.42142,0.96912,0.99797,0.99907,0.99427,0.83,0.7509,0.33735,0.93314,0.0016832,0.0016832,0.0016832
18,8195.2,0.80934,0.41666,0.97269,0.99353,0.99881,0.99432,0.82673,0.7401,0.32254,0.92973,0.0016634,0.0016634,0.0016634
19,8649.43,0.80902,0.41893,0.97221,0.99349,0.9935,0.99439,0.82211,0.74349,0.35038,0.93501,0.0016436,0.0016436,0.0016436
20,9103.79,0.80516,0.41327,0.97181,0.99721,0.99628,0.99492,0.82745,0.73441,0.32821,0.93533,0.0016238,0.0016238,0.0016238
21,9558.03,0.80899,0.40764,0.97058,0.99721,0.9971,0.99443,0.8444,0.72059,0.31664,0.92545,0.001604,0.001604,0.001604
22,10012.5,0.79209,0.40316,0.96373,0.99537,0.99797,0.99434,0.84523,0.7172,0.30839,0.92115,0.0015842,0.0015842,0.0015842
23,10466.2,0.78777,0.4008,0.96543,0.99584,0.99907,0.99487,0.83969,0.72013,0.31012,0.92427,0.0015644,0.0015644,0.0015644
24,10920.3,0.78549,0.39603,0.95606,0.99432,0.99721,0.99466,0.83428,0.723,0.31066,0.92464,0.0015446,0.0015446,0.0015446
25,11373.8,0.7855,0.39671,0.95764,0.99708,0.99536,0.99483,0.84375,0.71597,0.305,0.91899,0.0015248,0.0015248,0.0015248
