epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1499.04,0.96303,1.07614,1.00823,0.96805,0.96965,0.98837,0.71299,0.97043,0.67024,1.11912,0.000666172,0.000666172,0.000666172
2,2827.96,0.94182,0.60301,1.01353,0.96927,0.98,0.98805,0.7446,0.94741,0.54539,1.08075,0.00131964,0.00131964,0.00131964
3,4297.95,0.91844,0.54671,1.00506,0.96267,0.985,0.99058,0.75549,0.87654,0.49754,1.05597,0.00195991,0.00195991,0.00195991
4,5755.72,0.89674,0.5175,1.00055,0.97347,0.991,0.9918,0.75998,0.91639,0.46346,1.08071,0.0019406,0.0019406,0.0019406
5,7138.7,0.88486,0.4924,0.98773,0.9861,0.99339,0.99372,0.78926,0.81657,0.43843,1.02456,0.0019208,0.0019208,0.0019208
6,8794.35,0.86369,0.47044,0.98566,0.98613,0.99513,0.99356,0.78956,0.80855,0.42028,1.01837,0.001901,0.001901,0.001901
7,1458.8,0.86294,0.51134,0.9863,0.98607,0.99086,0.9942,0.79129,0.88163,0.42496,1.06082,0.0018812,0.0018812,0.0018812
8,2922.51,0.84252,0.449,0.98164,0.9803,0.9951,0.99418,0.8009,0.79395,0.39203,1.01345,0.0018614,0.0018614,0.0018614
9,4397.68,0.82424,0.43301,0.96826,0.97951,0.994,0.99309,0.80999,0.76195,0.38165,0.99223,0.0018416,0.0018416,0.0018416
10,5870.12,0.82011,0.42745,0.97146,0.99087,0.994,0.99371,0.7996,0.81654,0.37431,1.01135,0.0018218,0.0018218,0.0018218
11,7315.39,0.81458,0.42023,0.96582,0.99069,0.998,0.99406,0.8142,0.7635,0.37235,0.98703,0.001802,0.001802,0.001802
12,19724.1,0.80729,0.41696,0.96532,0.99101,0.99185,0.99472,0.8116,0.78781,0.37432,1.0001,0.0017822,0.0017822,0.0017822
13,20884.1,0.81343,0.41291,0.96482,0.99101,0.99163,0.99417,0.81348,0.80439,0.36394,1.00524,0.0017624,0.0017624,0.0017624
14,22417,0.79989,0.4061,0.96181,0.996,0.99519,0.99429,0.8179,0.77844,0.35888,0.9955,0.0017426,0.0017426,0.0017426
15,23895.8,0.79643,0.40162,0.95898,0.99106,0.99786,0.99363,0.81582,0.76368,0.35484,0.98698,0.0017228,0.0017228,0.0017228
16,25337,0.7879,0.39553,0.95251,0.99265,0.997,0.99448,0.83108,0.74746,0.35283,0.99124,0.001703,0.001703,0.001703
17,27022.9,0.78975,0.39879,0.95773,0.98941,0.999,0.99422,0.83295,0.73427,0.33395,0.97357,0.0016832,0.0016832,0.0016832
18,28501.7,0.78859,0.39146,0.95398,0.99303,0.99748,0.99391,0.84623,0.70443,0.33854,0.96684,0.0016634,0.0016634,0.0016634
19,29753,0.77159,0.38309,0.94847,0.99402,0.99667,0.99456,0.8329,0.71747,0.32396,0.9624,0.0016436,0.0016436,0.0016436
20,30992.4,0.78264,0.38192,0.95558,0.98605,0.998,0.99451,0.83169,0.71626,0.32622,0.96557,0.0016238,0.0016238,0.0016238
21,32226,0.77528,0.37932,0.9519,0.99402,0.99688,0.99459,0.84306,0.7038,0.3168,0.96053,0.001604,0.001604,0.001604
22,33461.6,0.76582,0.37474,0.94677,0.99203,0.9958,0.99411,0.84815,0.68212,0.32405,0.95301,0.0015842,0.0015842,0.0015842
23,34701.5,0.77042,0.37182,0.94224,0.98797,0.999,0.99414,0.829,0.71674,0.32442,0.96105,0.0015644,0.0015644,0.0015644
24,35955.2,0.77271,0.37126,0.94835,0.99477,0.999,0.99465,0.83172,0.74956,0.32333,0.97462,0.0015446,0.0015446,0.0015446
25,37233,0.76255,0.36465,0.94177,0.99403,0.99893,0.99453,0.84181,0.70479,0.32122,0.96095,0.0015248,0.0015248,0.0015248
26,38508.4,0.75955,0.37,0.94452,0.99587,0.999,0.99412,0.8526,0.67366,0.30747,0.94503,0.001505,0.001505,0.001505
27,39780.1,0.76035,0.3646,0.94469,0.9959,0.997,0.99405,0.8385,0.70431,0.3165,0.95723,0.0014852,0.0014852,0.0014852
28,41055.1,0.74671,0.36167,0.94119,0.99685,0.999,0.99433,0.85334,0.68331,0.30284,0.9463,0.0014654,0.0014654,0.0014654
29,42308.1,0.75881,0.35925,0.94371,0.99501,0.999,0.99417,0.84068,0.7121,0.30083,0.95416,0.0014456,0.0014456,0.0014456
30,43657.5,0.74427,0.35275,0.93885,0.9939,0.999,0.99401,0.85299,0.65496,0.28925,0.9365,0.0014258,0.0014258,0.0014258
31,44903.1,0.74047,0.35334,0.93465,0.99189,0.999,0.99356,0.85758,0.65517,0.28821,0.93792,0.001406,0.001406,0.001406
32,46174.4,0.74011,0.35119,0.9353,0.99171,0.999,0.99406,0.85303,0.65581,0.29685,0.93391,0.0013862,0.0013862,0.0013862
33,47428.1,0.74829,0.35134,0.93272,0.99303,0.99662,0.99459,0.85618,0.67085,0.2992,0.94454,0.0013664,0.0013664,0.0013664
34,48687,0.74475,0.35017,0.93922,0.99402,0.99739,0.99415,0.85979,0.64026,0.2854,0.93958,0.0013466,0.0013466,0.0013466
35,49931.6,0.73335,0.34527,0.93642,0.99403,0.99882,0.99461,0.86013,0.64581,0.2827,0.93206,0.0013268,0.0013268,0.0013268
36,51177.3,0.73553,0.34698,0.93222,0.99544,0.999,0.99461,0.86131,0.63511,0.28504,0.93111,0.001307,0.001307,0.001307
37,52416.9,0.73892,0.34367,0.93737,0.99497,0.998,0.99447,0.86038,0.65237,0.28871,0.93412,0.0012872,0.0012872,0.0012872
38,53655.3,0.72443,0.33829,0.92661,0.99571,0.997,0.99492,0.86872,0.62759,0.27675,0.92101,0.0012674,0.0012674,0.0012674
39,54920.6,0.72367,0.33411,0.93254,0.99457,0.999,0.99485,0.86299,0.64309,0.27958,0.9343,0.0012476,0.0012476,0.0012476
40,56176.4,0.72924,0.33544,0.93311,0.99701,0.99899,0.99448,0.86213,0.64207,0.27111,0.92724,0.0012278,0.0012278,0.0012278
41,57425.9,0.72948,0.33454,0.93335,0.99468,0.999,0.99408,0.8681,0.61519,0.28049,0.91952,0.001208,0.001208,0.001208
42,59001.2,0.71773,0.33594,0.93038,0.99336,0.998,0.99408,0.86287,0.63734,0.27801,0.9266,0.0011882,0.0011882,0.0011882
43,60531.1,0.71472,0.32897,0.9278,0.99347,0.999,0.9942,0.87073,0.60646,0.26678,0.91182,0.0011684,0.0011684,0.0011684
44,61765.5,0.71314,0.32464,0.92445,0.99793,0.999,0.99478,0.86906,0.63003,0.26707,0.9246,0.0011486,0.0011486,0.0011486
45,63011,0.71349,0.32527,0.92696,0.99658,0.998,0.99433,0.86873,0.61502,0.26529,0.9207,0.0011288,0.0011288,0.0011288
46,64230.7,0.71596,0.32749,0.92729,0.997,0.99865,0.99403,0.86824,0.62047,0.26783,0.9201,0.001109,0.001109,0.001109
47,65456.6,0.70752,0.32525,0.92418,0.9949,0.999,0.99452,0.87148,0.62043,0.25882,0.91606,0.0010892,0.0010892,0.0010892
48,66671.4,0.71167,0.32335,0.9276,0.99701,0.99885,0.99466,0.87565,0.59985,0.25966,0.90979,0.0010694,0.0010694,0.0010694
49,67897.4,0.70915,0.32293,0.92233,0.99601,0.99775,0.99429,0.87821,0.60068,0.25993,0.91415,0.0010496,0.0010496,0.0010496
50,69115.3,0.70652,0.31988,0.92228,0.99651,0.998,0.99425,0.87739,0.59668,0.25989,0.90585,0.0010298,0.0010298,0.0010298
51,70347.6,0.7037,0.3212,0.92066,0.99601,0.99889,0.99452,0.879,0.59616,0.25529,0.90438,0.00101,0.00101,0.00101
52,71578.6,0.71437,0.32065,0.92484,0.997,0.99847,0.99484,0.87799,0.58506,0.25296,0.90441,0.0009902,0.0009902,0.0009902
53,72834.3,0.70726,0.3152,0.91979,0.99573,0.999,0.99466,0.88061,0.58486,0.25276,0.90317,0.0009704,0.0009704,0.0009704
54,74082.9,0.70526,0.31709,0.92284,0.99743,0.999,0.9947,0.88137,0.59042,0.25304,0.90171,0.0009506,0.0009506,0.0009506
55,75332.7,0.70195,0.31708,0.92261,0.99394,0.999,0.99482,0.87567,0.59603,0.25401,0.91004,0.0009308,0.0009308,0.0009308
