epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.3425,0.92694,1.20548,0.98979,1,0.97933,0.99457,0.73096,0.99776,0.66063,1.03084,0.000664688,0.000664688,0.000664688
2,69.0148,0.91206,0.62812,0.99231,0.98388,0.97345,0.99352,0.72904,0.97172,0.51457,1.02105,0.00131817,0.00131817,0.00131817
3,100.421,0.89471,0.53074,0.98488,0.99125,0.9823,0.99482,0.73984,0.94871,0.48741,1.01371,0.00195846,0.00195846,0.00195846
4,131.292,0.87137,0.49464,0.97498,0.99876,0.9823,0.99389,0.74631,0.94047,0.4659,1.00251,0.0019406,0.0019406,0.0019406
5,162.217,0.8566,0.46512,0.97147,0.99913,0.99115,0.995,0.75891,0.92604,0.44544,1.00889,0.0019208,0.0019208,0.0019208
6,192.603,0.83691,0.45285,0.96583,0.99899,0.99115,0.995,0.76028,0.87583,0.43454,0.97454,0.001901,0.001901,0.001901
7,223.103,0.82039,0.4424,0.95918,0.99929,0.9823,0.99474,0.76214,0.91678,0.44236,0.99535,0.0018812,0.0018812,0.0018812
8,255.025,0.8168,0.42251,0.95775,1,0.99016,0.995,0.78439,0.83982,0.40048,0.95534,0.0018614,0.0018614,0.0018614
9,287.485,0.79734,0.41289,0.94815,0.98965,0.99115,0.99482,0.7815,0.84316,0.38844,0.94984,0.0018416,0.0018416,0.0018416
10,318.34,0.80426,0.41075,0.95461,0.99847,0.9823,0.99457,0.75852,0.89501,0.39391,0.96705,0.0018218,0.0018218,0.0018218
11,348.889,0.79114,0.40197,0.94796,0.9994,0.9823,0.99457,0.79445,0.81803,0.38747,0.94104,0.001802,0.001802,0.001802
12,379.394,0.79136,0.39806,0.94536,0.99918,0.9823,0.99482,0.78154,0.85637,0.38313,0.9396,0.0017822,0.0017822,0.0017822
13,410.049,0.77742,0.39122,0.94229,0.99041,0.99115,0.995,0.78769,0.84985,0.37066,0.95091,0.0017624,0.0017624,0.0017624
14,440.28,0.77646,0.38589,0.94125,0.99941,0.9823,0.99441,0.80086,0.86519,0.38411,0.95011,0.0017426,0.0017426,0.0017426
15,470.31,0.77127,0.38586,0.94146,0.98989,1,0.99491,0.78494,0.85402,0.37788,0.95708,0.0017228,0.0017228,0.0017228
16,500.511,0.75814,0.37363,0.93265,1,0.99945,0.995,0.8104,0.85936,0.35816,0.94356,0.001703,0.001703,0.001703
17,530.784,0.77108,0.38132,0.94352,0.99047,1,0.99491,0.78513,0.84867,0.35112,0.94594,0.0016832,0.0016832,0.0016832
18,560.918,0.75799,0.37093,0.93317,0.99931,0.9823,0.99474,0.79072,0.84807,0.38107,0.9399,0.0016634,0.0016634,0.0016634
19,590.944,0.75246,0.3691,0.93813,0.99923,0.99115,0.995,0.79634,0.83414,0.36062,0.93664,0.0016436,0.0016436,0.0016436
20,621.513,0.75751,0.36341,0.93886,1,0.99845,0.995,0.80977,0.82694,0.33578,0.94078,0.0016238,0.0016238,0.0016238
21,652.46,0.73946,0.36077,0.93115,1,0.9819,0.99474,0.8128,0.82727,0.36539,0.9479,0.001604,0.001604,0.001604
22,682.6,0.7441,0.35725,0.93174,0.99943,0.9823,0.99491,0.80785,0.81537,0.35387,0.94725,0.0015842,0.0015842,0.0015842
23,713.038,0.74344,0.36073,0.93501,0.99938,0.9823,0.99362,0.81251,0.79233,0.35373,0.93364,0.0015644,0.0015644,0.0015644
24,743.194,0.7487,0.35968,0.93089,0.99934,0.9823,0.98948,0.79691,0.82806,0.36815,0.93963,0.0015446,0.0015446,0.0015446
25,773.646,0.74759,0.35812,0.93469,0.99934,0.9823,0.99002,0.80398,0.83883,0.37537,0.94224,0.0015248,0.0015248,0.0015248
26,803.938,0.7388,0.3511,0.92784,0.99942,0.9823,0.98902,0.80765,0.80033,0.34817,0.92731,0.001505,0.001505,0.001505
27,834.184,0.73534,0.34811,0.92829,0.99928,0.9823,0.99457,0.81592,0.81969,0.33925,0.94197,0.0014852,0.0014852,0.0014852
28,864.424,0.73498,0.352,0.92546,1,0.99055,0.995,0.81527,0.81706,0.34236,0.93536,0.0014654,0.0014654,0.0014654
29,894.859,0.73339,0.34739,0.93058,0.99939,0.9823,0.98979,0.82149,0.82,0.36454,0.94847,0.0014456,0.0014456,0.0014456
30,925.298,0.72904,0.34402,0.92584,1,0.99086,0.995,0.82483,0.79513,0.33304,0.9266,0.0014258,0.0014258,0.0014258
31,955.75,0.72784,0.34177,0.92793,0.99939,0.9823,0.98945,0.81066,0.83048,0.35163,0.9332,0.001406,0.001406,0.001406
32,986.224,0.72154,0.34049,0.92134,0.99942,0.9823,0.98961,0.81957,0.79266,0.33038,0.92821,0.0013862,0.0013862,0.0013862
33,1016.75,0.72303,0.33863,0.92534,0.9994,0.9823,0.99491,0.83125,0.7958,0.3414,0.92169,0.0013664,0.0013664,0.0013664
34,1047.16,0.7212,0.33444,0.9241,1,0.99066,0.995,0.82846,0.78239,0.31748,0.91231,0.0013466,0.0013466,0.0013466
35,1077.46,0.71402,0.33355,0.92378,0.99806,0.9823,0.99474,0.81168,0.81672,0.33141,0.93114,0.0013268,0.0013268,0.0013268
