epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1763.45,0.99949,0.40177,1.01442,0.99885,0.99953,0.9949,0.77444,0.91813,0.28581,0.97776,0.00333316,0.00333316,0.00333316
2,3517.76,0.98368,0.40156,1.00819,0.99907,0.99956,0.99491,0.7789,0.90465,0.27768,0.97378,0.0066005,0.0066005,0.0066005
3,5263.01,0.9852,0.41405,1.01334,0.9992,0.99951,0.99496,0.7805,0.89933,0.27945,0.97448,0.00980183,0.00980183,0.00980183
4,6982.64,0.98091,0.41141,1.01538,0.99925,0.99907,0.99498,0.77574,0.90966,0.33486,0.99117,0.009703,0.009703,0.009703
5,8664.78,0.96431,0.39497,1.01056,0.99382,0.99865,0.99497,0.74961,0.97894,0.49497,1.02523,0.009604,0.009604,0.009604
6,10346.6,0.96006,0.38682,1.00922,0.98711,0.99313,0.99488,0.73001,1.03736,0.71753,1.05093,0.009505,0.009505,0.009505
7,12007.8,0.95358,0.37977,1.00464,0.98134,0.9883,0.99329,0.72917,1.04761,0.81535,1.05606,0.009406,0.009406,0.009406
8,13732.7,0.94901,0.37808,1.00553,0.97684,0.98819,0.99312,0.74117,1.00795,0.79214,1.04323,0.009307,0.009307,0.009307
9,15453.1,0.94594,0.37474,1.00886,0.98448,0.99393,0.99491,0.75694,0.95979,0.58588,1.02258,0.009208,0.009208,0.009208
10,17153.8,0.9436,0.37213,1.00627,0.99975,0.98951,0.99498,0.7688,0.92558,0.4337,1.00452,0.009109,0.009109,0.009109
11,18891.5,0.94205,0.37011,1.00812,0.99969,0.99593,0.99499,0.77882,0.90469,0.35128,0.99213,0.00901,0.00901,0.00901
12,20582.3,0.94032,0.36968,1.00846,0.9996,0.99845,0.99499,0.78535,0.89025,0.30909,0.98348,0.008911,0.008911,0.008911
13,22266.1,0.94139,0.36931,1.00744,0.99947,0.9992,0.99499,0.78858,0.88299,0.28742,0.97813,0.008812,0.008812,0.008812
14,23960.9,0.93726,0.366,1.00374,0.99947,0.99936,0.99499,0.79047,0.87872,0.27746,0.97424,0.008713,0.008713,0.008713
15,25687.4,0.93805,0.36665,1.00522,0.99949,0.99935,0.99499,0.79155,0.87591,0.2714,0.97169,0.008614,0.008614,0.008614
16,27346.1,0.93628,0.36493,1.00518,0.99936,0.99955,0.99498,0.79263,0.87432,0.26788,0.97031,0.008515,0.008515,0.008515
17,29024.7,0.93609,0.36379,1.00288,0.99944,0.99965,0.99497,0.79339,0.87295,0.26498,0.96866,0.008416,0.008416,0.008416
18,30697.6,0.93355,0.36268,1.0063,0.9994,0.99966,0.99497,0.79432,0.87168,0.26279,0.96835,0.008317,0.008317,0.008317
19,32358.6,0.93238,0.36346,1.01144,0.99945,0.99964,0.99496,0.79551,0.87048,0.26133,0.96866,0.008218,0.008218,0.008218
20,53624.5,0.93358,0.36215,1.00951,0.99945,0.99968,0.99495,0.79612,0.86994,0.26045,0.96859,0.008119,0.008119,0.008119
21,55300,0.93233,0.3644,1.02255,0.99945,0.99967,0.99495,0.79622,0.86988,0.25986,0.97046,0.00802,0.00802,0.00802
22,56972.6,0.93187,0.35978,1.01263,0.99942,0.99967,0.99495,0.79654,0.86945,0.25891,0.97059,0.007921,0.007921,0.007921
23,58650.5,0.93042,0.35873,1.00998,0.99943,0.99967,0.99495,0.79704,0.86873,0.25735,0.97005,0.007822,0.007822,0.007822
24,60330.9,0.92995,0.35807,1.00562,0.99941,0.99969,0.99496,0.79775,0.86852,0.25627,0.96917,0.007723,0.007723,0.007723
25,62002.9,0.9312,0.35855,1.0073,0.99941,0.99976,0.99495,0.7981,0.86854,0.25565,0.96857,0.007624,0.007624,0.007624
26,63682.5,0.92901,0.35797,1.00652,0.99945,0.99976,0.99495,0.79822,0.86814,0.25502,0.96826,0.007525,0.007525,0.007525
27,69774.5,0.92774,0.35748,1.00853,0.9994,0.99973,0.99495,0.79824,0.86778,0.25459,0.96842,0.007426,0.007426,0.007426
28,71426,0.92621,0.35792,1.00979,0.99938,0.99971,0.99495,0.79891,0.86741,0.25453,0.96936,0.007327,0.007327,0.007327
29,73094.2,0.92708,0.35696,1.01275,0.99937,0.99976,0.99494,0.79936,0.86725,0.25456,0.97109,0.007228,0.007228,0.007228
30,74769.5,0.92612,0.35513,1.0099,0.9994,0.99976,0.99494,0.79973,0.86648,0.25413,0.97177,0.007129,0.007129,0.007129
31,76443,0.92619,0.35452,1.00913,0.99942,0.99976,0.99494,0.80018,0.86599,0.25364,0.97183,0.00703,0.00703,0.00703
32,78124.5,0.92542,0.35393,1.00647,0.9994,0.99975,0.99491,0.80069,0.86588,0.25313,0.97067,0.006931,0.006931,0.006931
33,79797.4,0.92361,0.35471,1.01143,0.99939,0.99973,0.99491,0.80036,0.86542,0.25299,0.97098,0.006832,0.006832,0.006832
34,81478.8,0.92441,0.35267,1.0036,0.99945,0.99974,0.99491,0.80079,0.86482,0.25263,0.96994,0.006733,0.006733,0.006733
35,95172.2,0.92376,0.35241,1.0073,0.99943,0.99973,0.9949,0.80069,0.8645,0.25206,0.96977,0.006634,0.006634,0.006634
36,96847.4,0.92348,0.35345,1.01299,0.99942,0.99976,0.99491,0.80079,0.86391,0.25208,0.97089,0.006535,0.006535,0.006535
37,98526.3,0.92155,0.35116,1.01052,0.99948,0.99978,0.99491,0.8016,0.86371,0.25203,0.971,0.006436,0.006436,0.006436
38,100168,0.92078,0.35101,1.00984,0.9995,0.99978,0.99494,0.80163,0.86324,0.25183,0.97106,0.006337,0.006337,0.006337
39,101844,0.92048,0.35004,1.00401,0.99955,0.99978,0.99489,0.80183,0.8627,0.2514,0.96997,0.006238,0.006238,0.006238
40,104079,0.92187,0.3501,1.00902,0.99952,0.99978,0.99495,0.80171,0.86234,0.25116,0.96961,0.006139,0.006139,0.006139
41,106703,0.91958,0.34934,1.00742,0.99955,0.99978,0.99495,0.8019,0.8621,0.25114,0.96942,0.00604,0.00604,0.00604
42,108611,0.9183,0.34708,1.00442,0.99954,0.99978,0.99495,0.80197,0.86183,0.25092,0.96851,0.005941,0.005941,0.005941
43,110434,0.92015,0.34877,1.00978,0.99955,0.99978,0.99493,0.8021,0.86199,0.25078,0.96923,0.005842,0.005842,0.005842
44,112204,0.91808,0.34659,1.00845,0.9995,0.99978,0.99494,0.8025,0.86161,0.25054,0.96972,0.005743,0.005743,0.005743
45,159319,0.91668,0.34669,1.00745,0.9995,0.99976,0.99494,0.80254,0.86154,0.25039,0.96993,0.005644,0.005644,0.005644
46,161578,0.91786,0.34587,1.00625,0.99949,0.99976,0.99489,0.80245,0.86113,0.25018,0.96983,0.005545,0.005545,0.005545
47,163595,0.91671,0.34648,1.01161,0.99951,0.99976,0.99494,0.80258,0.86106,0.24991,0.97151,0.005446,0.005446,0.005446
48,165381,0.91508,0.34384,1.0025,0.99948,0.99971,0.99492,0.80285,0.86063,0.24942,0.96999,0.005347,0.005347,0.005347
49,167183,0.91467,0.34359,1.00682,0.99951,0.99971,0.99493,0.80296,0.8601,0.24919,0.96957,0.005248,0.005248,0.005248
50,168996,0.91406,0.34406,1.00937,0.99944,0.99973,0.99492,0.80345,0.85992,0.2491,0.96997,0.005149,0.005149,0.005149
51,182241,0.91362,0.34221,1.00969,0.99948,0.99973,0.99495,0.80339,0.85974,0.24902,0.97077,0.00505,0.00505,0.00505
52,184891,0.91431,0.3418,1.00606,0.99944,0.99976,0.99494,0.80405,0.85927,0.24876,0.97057,0.004951,0.004951,0.004951
53,186803,0.91124,0.34016,0.99967,0.99945,0.99976,0.99495,0.80382,0.85893,0.24822,0.969,0.004852,0.004852,0.004852
54,188727,0.91227,0.34088,1.00696,0.99948,0.99976,0.99493,0.80361,0.85897,0.248,0.96904,0.004753,0.004753,0.004753
55,190664,0.9102,0.34003,1.00988,0.99951,0.99976,0.99492,0.80374,0.85857,0.24796,0.96933,0.004654,0.004654,0.004654
56,228113,0.91104,0.33848,0.99972,0.99953,0.99976,0.99492,0.80385,0.85818,0.24756,0.9673,0.004555,0.004555,0.004555
57,229886,0.90932,0.33854,1.00619,0.99955,0.9998,0.99492,0.80431,0.85785,0.2473,0.96738,0.004456,0.004456,0.004456
58,231683,0.90929,0.34108,1.0142,0.99951,0.99978,0.99491,0.8042,0.85758,0.24733,0.96877,0.004357,0.004357,0.004357
