epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.507,0.78845,1.26941,0.90329,0.994,0.9924,0.99487,0.82494,0.6528,0.81649,0.85308,0.000663623,0.000663623,0.000663623
2,66.1466,0.75107,0.67298,0.90043,0.98885,0.995,0.99475,0.82067,0.66937,0.50919,0.86036,0.00130395,0.00130395,0.00130395
3,95.0707,0.73743,0.54391,0.90904,0.99718,0.99201,0.99499,0.84507,0.61647,0.46245,0.86563,0.00191788,0.00191788,0.00191788
4,123.479,0.71448,0.48026,0.89985,0.98804,0.99015,0.99477,0.85502,0.60203,0.4337,0.85695,0.0018812,0.0018812,0.0018812
5,151.45,0.69047,0.44743,0.89004,0.98765,0.99101,0.99458,0.87052,0.59335,0.39639,0.85442,0.0018416,0.0018416,0.0018416
6,179.689,0.67611,0.43666,0.89503,0.99956,0.995,0.995,0.86765,0.57188,0.3556,0.85597,0.001802,0.001802,0.001802
7,208.196,0.64924,0.4064,0.8869,0.98005,0.995,0.9946,0.87701,0.54215,0.35081,0.84481,0.0017624,0.0017624,0.0017624
8,236.666,0.64217,0.3986,0.88481,0.996,0.999,0.995,0.8774,0.55478,0.3292,0.85349,0.0017228,0.0017228,0.0017228
9,265.26,0.62886,0.38476,0.8833,0.99305,0.99854,0.99454,0.86651,0.5632,0.34406,0.84909,0.0016832,0.0016832,0.0016832
10,294.407,0.61561,0.37343,0.87726,1,0.9988,0.995,0.87291,0.5435,0.32859,0.84617,0.0016436,0.0016436,0.0016436
11,324.974,0.60581,0.36966,0.87411,0.99699,1,0.995,0.87563,0.56185,0.31171,0.85092,0.001604,0.001604,0.001604
12,357.5,0.59844,0.35513,0.87455,1,0.99984,0.995,0.8903,0.53476,0.30281,0.84375,0.0015644,0.0015644,0.0015644
13,389.007,0.60011,0.35749,0.87564,0.99889,1,0.995,0.88356,0.54315,0.2983,0.84554,0.0015248,0.0015248,0.0015248
14,420.922,0.58511,0.34846,0.87119,0.99761,0.999,0.995,0.88526,0.51387,0.29675,0.83811,0.0014852,0.0014852,0.0014852
15,452.739,0.57443,0.34089,0.87073,0.9999,1,0.995,0.89546,0.50838,0.27298,0.84342,0.0014456,0.0014456,0.0014456
16,485.399,0.57435,0.33326,0.86877,0.99894,1,0.995,0.89573,0.52305,0.28837,0.84424,0.001406,0.001406,0.001406
17,517.494,0.57301,0.32976,0.86797,0.99847,1,0.995,0.8918,0.50015,0.27702,0.83195,0.0013664,0.0013664,0.0013664
18,549.209,0.56961,0.32822,0.8667,0.99987,1,0.995,0.89771,0.48872,0.26592,0.83384,0.0013268,0.0013268,0.0013268
19,581.127,0.5701,0.32768,0.86823,1,0.99963,0.995,0.89447,0.49839,0.26718,0.83687,0.0012872,0.0012872,0.0012872
20,612.717,0.56177,0.31483,0.86893,0.99974,0.999,0.995,0.90383,0.48522,0.26269,0.82995,0.0012476,0.0012476,0.0012476
21,644.742,0.5586,0.31546,0.86556,0.99895,1,0.995,0.90009,0.50184,0.27266,0.83677,0.001208,0.001208,0.001208
22,676.477,0.55331,0.31304,0.86082,0.99985,1,0.995,0.90508,0.49148,0.26913,0.83438,0.0011684,0.0011684,0.0011684
23,705.242,0.55198,0.30987,0.86425,0.99879,1,0.995,0.89998,0.48853,0.2525,0.83157,0.0011288,0.0011288,0.0011288
24,733.531,0.54318,0.29997,0.86106,0.9989,1,0.99494,0.90954,0.47058,0.24388,0.82412,0.0010892,0.0010892,0.0010892
25,762.435,0.54118,0.29929,0.85652,0.99994,1,0.995,0.90499,0.48346,0.24715,0.82785,0.0010496,0.0010496,0.0010496
26,791.282,0.53131,0.29474,0.85912,0.99963,1,0.995,0.90044,0.47534,0.25341,0.8286,0.00101,0.00101,0.00101
27,821.145,0.53067,0.29537,0.85887,0.99891,1,0.995,0.90403,0.47304,0.23724,0.82965,0.0009704,0.0009704,0.0009704
28,851.235,0.52734,0.28829,0.86191,0.99989,1,0.995,0.9105,0.4707,0.23798,0.82516,0.0009308,0.0009308,0.0009308
29,881.213,0.52339,0.28514,0.85747,0.99982,1,0.995,0.91384,0.46194,0.22969,0.82853,0.0008912,0.0008912,0.0008912
30,911.62,0.52102,0.28345,0.85604,0.99981,1,0.995,0.91473,0.46715,0.23524,0.82683,0.0008516,0.0008516,0.0008516
31,944.779,0.51682,0.28412,0.85529,0.99801,0.99997,0.995,0.91485,0.47391,0.23531,0.82558,0.000812,0.000812,0.000812
32,979.639,0.52585,0.28364,0.85454,0.99965,1,0.995,0.91111,0.47054,0.2312,0.82652,0.0007724,0.0007724,0.0007724
33,1013.66,0.51069,0.27397,0.8496,0.99989,1,0.995,0.91547,0.46066,0.2257,0.823,0.0007328,0.0007328,0.0007328
34,1046.87,0.50596,0.2731,0.85341,0.99986,1,0.995,0.91122,0.47082,0.22559,0.8258,0.0006932,0.0006932,0.0006932
35,1079.27,0.50687,0.26621,0.85107,0.99993,1,0.995,0.91476,0.4631,0.22752,0.82171,0.0006536,0.0006536,0.0006536
36,1111.67,0.50557,0.26831,0.85265,0.99989,1,0.995,0.91203,0.46341,0.22607,0.82501,0.000614,0.000614,0.000614
37,1143.75,0.50464,0.26685,0.84953,0.99919,1,0.995,0.91798,0.45042,0.22022,0.81995,0.0005744,0.0005744,0.0005744
38,1175.78,0.49822,0.26011,0.8498,0.99989,1,0.995,0.91614,0.46054,0.2137,0.82399,0.0005348,0.0005348,0.0005348
39,1208.43,0.49643,0.26031,0.85178,0.99941,1,0.995,0.91284,0.45874,0.21556,0.82134,0.0004952,0.0004952,0.0004952
40,1241.64,0.49309,0.26196,0.85148,0.99966,1,0.995,0.91781,0.45308,0.21581,0.82052,0.0004556,0.0004556,0.0004556
41,1296.34,0.45564,0.23348,0.81982,0.9999,1,0.995,0.91631,0.45329,0.21446,0.81932,0.000416,0.000416,0.000416
42,1328.02,0.45679,0.22707,0.81902,0.99989,0.999,0.995,0.91542,0.46594,0.21898,0.82288,0.0003764,0.0003764,0.0003764
43,1359.6,0.45037,0.22514,0.81479,1,0.99999,0.995,0.917,0.45263,0.21468,0.82039,0.0003368,0.0003368,0.0003368
44,1392.56,0.44811,0.2234,0.81518,0.99997,1,0.995,0.91429,0.45434,0.21178,0.81965,0.0002972,0.0002972,0.0002972
45,1424.65,0.44006,0.21604,0.81504,1,0.99994,0.995,0.91536,0.45411,0.20578,0.82111,0.0002576,0.0002576,0.0002576
46,1456.05,0.43834,0.21478,0.81511,1,1,0.995,0.91947,0.44712,0.2013,0.82026,0.000218,0.000218,0.000218
47,1489.07,0.42951,0.20643,0.81816,1,0.99998,0.995,0.92193,0.44377,0.19859,0.81871,0.0001784,0.0001784,0.0001784
48,1521.72,0.43145,0.20662,0.81263,0.99996,1,0.995,0.92151,0.44558,0.19742,0.81915,0.0001388,0.0001388,0.0001388
49,1553.66,0.42528,0.20187,0.81124,0.99997,1,0.995,0.92146,0.43948,0.19336,0.81797,9.92e-05,9.92e-05,9.92e-05
50,1585.67,0.42073,0.19896,0.80645,1,0.99999,0.995,0.9215,0.44054,0.19143,0.81765,5.96e-05,5.96e-05,5.96e-05
